Rank 2018,Row Labels,2014,2015,2016,2017,2018,Grand Total,2014-2017 % Change,2016-2017 % Change,2017 - year to date % Change
84,Friendship Heights,1,3,5,4,5,18,300,-20,25
85,Foxhall Village,0,1,4,5,4,14,#DIV/0!,25,-20
86,Stronghold,0,1,4,2,4,11,#DIV/0!,-50,100
87,Garfield Heights,1,2,4,2,4,13,100,-50,100
88,Kenilworth,0,0,3,5,3,11,#DIV/0!,66.66666667,-40
89,Barry Farm,0,0,3,4,3,10,#DIV/0!,33.33333333,-25
90,Fairfax Village,0,1,3,4,3,11,#DIV/0!,33.33333333,-25
91,The Capitol Grounds,0,2,3,3,3,11,#DIV/0!,0,0
92,Crestwood,0,0,3,1,3,7,#DIV/0!,-66.66666667,200
93,Tenleytown,2,4,3,1,3,13,-50,-66.66666667,200
94,West Potomac Park,0,0,3,0,3,6,#DIV/0!,-100,#DIV/0!
95,Pleasant Hills,0,6,2,12,2,22,#DIV/0!,500,-83.33333333
96,Hillcrest,0,1,2,5,2,10,#DIV/0!,150,-60
97,St. Elizabeths Hospital East,0,1,2,5,2,10,#DIV/0!,150,-60
98,Georgetown University,0,0,2,1,2,5,#DIV/0!,-50,100
99,Good Hope,0,0,2,1,2,5,#DIV/0!,-50,100
100,McLean Gardens,0,0,2,1,2,5,#DIV/0!,-50,100
101,Palisades,0,0,2,1,2,5,#DIV/0!,-50,100
102,Penn Branch section of Dupont Park,0,0,2,1,2,5,#DIV/0!,-50,100
103,Knox Hill,1,0,2,1,2,6,0,-50,100
104,Shepherd Park,1,0,1,11,1,14,1000,1000,-90.90909091
105,Near South East,1,1,1,10,1,14,900,900,-90
106,Twining,0,0,1,9,1,11,#DIV/0!,800,-88.88888889
107,Fort Dupont,0,1,1,6,1,9,#DIV/0!,500,-83.33333333
108,Gateway,0,0,1,6,1,8,#DIV/0!,500,-83.33333333
109,Observatory Circle,1,3,1,6,1,12,500,500,-83.33333333
110,National Mall,0,0,1,2,1,4,#DIV/0!,100,-50
111,Barney Circle,0,5,1,1,1,8,#DIV/0!,0,0
112,Capital City Market,0,0,1,1,1,3,#DIV/0!,0,0
113,Fort Lincoln,0,0,1,1,1,3,#DIV/0!,0,0
114,Wakefield,0,2,1,1,1,5,#DIV/0!,0,0
115,Woodland,0,0,1,1,1,3,#DIV/0!,0,0
